ID,Language_ID,English_Gloss,Form,Inflected_Forms,Comment,Source
tomo1244-1-0001,tomo1244-1,armpit,be,be lo-n (3sg); cf. Ross (1980): <belon> '(his) shoulder',cf. Ross (1980): <belon> 'his shoulder',BarlowKillian2023
tomo1244-1-0002,tomo1244-1,lungs; liver,ber,ne=ber lo-n (3sg)/(sg),or is this /neber/?,BarlowKillian2023
tomo1244-1-0003,tomo1244-1,head,bla,"bla lo-ʝo (1sg), bla lol-ʝo (1sg), bla lo-m (2sg), bla lo-m-ke (2sg) (double possessive marking?), bla lo-n (3sg)",same as 'spouse's mother'?; also /pana/,BarlowKillian2023
tomo1244-1-0004,tomo1244-1,nose; beak; prow of a canoe,blodu,"blodu-ʝo (1sg), blodu no-ʝo (1sg), blodu-m (2sg), blodu-n (3sg), blodu no-n (3sg)",,BarlowKillian2023
tomo1244-1-0005,tomo1244-1,earwax,breβoe,,,BarlowKillian2023
tomo1244-1-0006,tomo1244-1,"belly, stomach; canoe",buhe,"buhe lo-n (3sg), buhe lo (before noun)",,BarlowKillian2023
tomo1244-1-0007,tomo1244-1,"thigh, upper leg",bulti,bulti no (before noun),"prefix /bul-/, from prefix /buŋ-/?; cf. /buti/ 'breast'",BarlowKillian2023
tomo1244-1-0008,tomo1244-1,"meat, flesh",burho,burho no (before noun [person]); burho lo (before noun [pig]); burho lo-n (3sg) [from Ross (1980): <buruholon> 'flesh'],"prefix /bur-/, from prefix /buŋ-/? (but relation if any to /ho/ 'ashes' is unclear); from POc *boʀok 'pig'?",BarlowKillian2023
tomo1244-1-0009,tomo1244-1,breast,buti,buti no (before noun); buŋ-buti (prefix /buŋ-/) (double prefix: first is fossilized),"prefix /bu-/, from prefix /buŋ-/?; also /ti/, based on Grace (1955a); Ross (1980)",BarlowKillian2023
tomo1244-1-0010,tomo1244-1,"mouth, lower face",dela,deli-m (2sg),alternate stem of /deli/?; found in compound /dela ŋa lem / 'face'?,BarlowKillian2023
tomo1244-1-0011,tomo1244-1,face,dela ŋa lem,,literally 'mouth of forehead'?,BarlowKillian2023
tomo1244-1-0012,tomo1244-1,"mouth, lower face",deli,"deli e-ʝo (1sg), deli e-ke (2sg), deli e-m (2sg), deli e-n (3sg), deli e-n ano-n (3sg) (double possessive marking?)",alternate stem of /dela/?,BarlowKillian2023
tomo1244-1-0013,tomo1244-1,neck,delkua,"delkua-ʝo (1sg), delkua-n (3sg)",,BarlowKillian2023
tomo1244-1-0014,tomo1244-1,"rheum, eye mucus",gomuk,,,BarlowKillian2023
tomo1244-1-0015,tomo1244-1,umbilical cord,he muop,,literally 'stick navel',BarlowKillian2023
tomo1244-1-0016,tomo1244-1,vein; thread,hem,e=hem (pl); ka-hem (prefix /ka-/); hem lo-n (3sg),,BarlowKillian2023
